instruction,input,output
Detect the sentiment of the tweet.,"@pipis @makmummasjid Me ; 
PINTEREST RENEGADE, BRANDING INTERN, BITCOIN CZAR. IGNORING YOUR PASSION IS LIKE DYING A SLOW DEATH.",Negative
Detect the sentiment of the tweet.,"1 bitcoin = $8648.6 / 7019.636€
1 bitcoin-cash = $1012.28 / 821.617€
1 ethereum = $534.693 / 433.983€
#bitcoin #ethereum #bitcoincash",Neutral
Detect the sentiment of the tweet.,@tanjrinidad bitcoin,Neutral
Detect the sentiment of the tweet.,@rogerkver @Falkvinge Bitcoin #BCH Leaders 🌎✌🏻,Neutral
Detect the sentiment of the tweet.,@nlckstephens is bitcoin a woke ally,Neutral
Detect the sentiment of the tweet.,somebody teach me how to use bitcoin so I can get some actual coinT,Neutral
Detect the sentiment of the tweet.,@illusionfoxe in fact by mining a bitcoin you actually end up spending a bunch of money. and/or burning your house down. or both.,Negative
Detect the sentiment of the tweet.,Celebrate birthday and take interesting prizes with @bethereumteam #bethereum #bitcoin #news #crypto #blockchain #betting #tokensupply #bthr,Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Your bet, your rules! This is how says @bethereumteam #bethereum #bitcoin #news #crypto #blockchain #betting #tokensupply #bthr",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Should be buy Tron or not?
 #trx #tron #altcoins #cryptocurrency #ethereum #bitcoin",Neutral
Detect the sentiment of the tweet.,@rogerkver @Falkvinge Only diet Bitcoin Cash Lite will be left after all the rubble of Vers massive poop dumps is through.,Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@crypto_capone Bitcoin.,Neutral
Detect the sentiment of the tweet.,"Satoshi's genius was building a system that didn't need him to be succesful.

Bitcoin is self-sufficient.",Neutral
Detect the sentiment of the tweet.,@APompliano but what if someone killed all the bitcoin developers?,Negative
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,Satoshi Nakamoto as banned the project of bitcoin in 2015. So making money off a dead coin pure trolling!,Positive
Detect the sentiment of the tweet.,"@CryptoCamel1 @MoonOverlord I hate to tell you this... but even 10,000 50k+ follower accounts don't make 24k bitcoin volume.",Negative
Detect the sentiment of the tweet.,#bitcoin #elliot  5th wave coming with squeeze over 9200,Neutral
Detect the sentiment of the tweet.,@ashleyfeinberg will you throw me a party with your bitcoin money to unveil,Neutral
Detect the sentiment of the tweet.,"@buzzshownetwork 
This project is great
#Bitcoin #ICO #BTC #ETH #YouTube",Positive
Detect the sentiment of the tweet.,@brian_lovin @ruzannaroz If someone can tell me a quick shortcut for the degrees symbol I’ll give you all the Bitcoin I own,Positive
Detect the sentiment of the tweet.,"@mybtcnig I'm from China. I need a lot of gift card and bitcoin. Can you see the price list of your goods?
My whatsapp:+8618678303679",Neutral
Detect the sentiment of the tweet.,@option_snipper For a second I thought the chart belongs to bitcoin LOL,Positive
Detect the sentiment of the tweet.,@Dry_Observer @DrDenaGrayson @ericgarland what are the references to bitcoin? i must’ve missed this connection.,Neutral
Detect the sentiment of the tweet.,how many out there have applied the Ichimoku Cloud to trading #bitcoin?,Positive
Detect the sentiment of the tweet.,"@xkeepah @illusionfoxe not to mention, that recent report that talked about how every bitcoin(?) contains CP",Neutral
Detect the sentiment of the tweet.,"Bitcoin:$8650.44
Ethereum:$534.767
Bitcoin Cash:$1010.69
Litecoin:$162.129
Ripple:$0.650947
IOTA:$1.31849",Neutral
Detect the sentiment of the tweet.,"1 bitcoin = $8650.44 / 7021.129€
1 bitcoin-cash = $1007.59 / 817.81€
1 ethereum = $534.767 / 434.043€
#bitcoin #ethereum #bitcoincash",Neutral
Detect the sentiment of the tweet.,One Bitcoin now worth $8557.49@bitstamp. High $9099.590. Low $8503.520. Market Cap $144.899 Billion #bitcoin,Positive
Detect the sentiment of the tweet.,@AndrewQuackson The Bolton move was set up by Barron for bitcoin gainz.,Neutral
Detect the sentiment of the tweet.,#XEM Price is 0.00003330 (-0.00000044) #BTC / 0.286412 (-0.00641) #USD. Market rank is 13. #nem #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#EOS Price is 0.00077699 (-0.00001417) #BTC / 6.69056 (-0.17639) #USD. Market rank is 7. #eos #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#ADA Price is 0.00002276 (-0.00000021) #BTC / 0.195699 (-0.00371) #USD. Market rank is 6. #cardano #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#DASH Price is 0.0472481 (-0.00022870) #BTC / 406.329 (-5.75100) #USD. Market rank is 12. #dash #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#SUB Price is 0.00004793 (-0.00000036) #BTC / 0.412197 (-0.00752) #USD. Market rank is 114. #substratum #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,Current price of Bitcoin is $8704.67 #Bitcoin #Bithound,Neutral
Detect the sentiment of the tweet.,What’s up with them bitcoin wallets... y’all been quiet lately.. talk to me,Negative
Detect the sentiment of the tweet.,"⚜ Status Update: Tracking 314 Bitcoin addresses with a current balance of 162.65K BTC / 1.40B USD
#bitcoin #cryptopaymon 🤖",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@rogerkver @Falkvinge isn't he the guy who put the Child Porn on Bitcoin blockchain?,Neutral
Detect the sentiment of the tweet.,"Hello humans, #Bitcoin is currently around $8644.33 as of Thu Mar 22 20:31:10 CDT 2018",Neutral
Detect the sentiment of the tweet.,@mohsen1987 @BTCTN Time to unsubscribe from Roger controlled Twitter account @BTCTN #bitcoin,Neutral
Detect the sentiment of the tweet.,"@thealicemoon twitter, instagram, my bike apps, and all my bitcoin apps LOLz",Neutral
Detect the sentiment of the tweet.,@Blockchain_Jay @Altcoinbuzzio So why is bitcoin such a shithead?,Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"#Bitcoin is based on #blockchain. A public ledger of transactions that's safe, huge potential to be future currency. #bitcoinminer",Positive
Detect the sentiment of the tweet.,"Fri Mar 23 02:31:58 2018 (18:26)
USD : 8596.62
Wght: 0.43
Blk#: 514746
Size: 924.5 KB
TXs:  2069
Pool: 47 (0.0 MB)
#bitcoin",Neutral
Detect the sentiment of the tweet.,@JessicaHuseman He's going to create a bitcoin-economy sovereign nation Web site called Bannsylvania?,Neutral
Detect the sentiment of the tweet.,bitcoin: the movie,Neutral
